tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2003-481,Copenhagen,Hard,32,A,20030224,1,103694,,,Olivier Rochus,R,168,BEL,22.0999315537,84,500,6-3 6-2,3,R32,63,1,0,47,35,24,6,9,0,2,1
2003-481,Copenhagen,Hard,32,A,20030224,2,102694,,,Lars Burgsmuller,R,183,GER,27.2197125257,106,370,6-4 6-4,3,R32,92,4,2,60,29,23,19,10,1,2,1
2003-481,Copenhagen,Hard,32,A,20030224,3,103181,,,Jiri Vanek,R,185,CZE,24.8377823409,186,192,6-4 2-6 6-3,3,R32,128,4,3,69,39,31,15,13,3,6,1
2003-481,Copenhagen,Hard,32,A,20030224,4,102494,,Q,Tomas Behrend,R,193,GER,28.2026009582,144,259,6-4 6-7(7) 7-6(2),3,R32,145,9,7,111,67,54,28,17,2,3,1
2003-481,Copenhagen,Hard,32,A,20030224,5,103285,4,,Radek Stepanek,R,185,CZE,24.2436687201,56,667,7-6(3) 3-6 6-3,3,R32,110,11,2,94,61,44,14,15,6,10,1
2003-481,Copenhagen,Hard,32,A,20030224,6,101723,,Q,Magnus Larsson,R,193,SWE,32.9199178645,184,194,6-1 6-1,3,R32,40,4,1,40,32,25,3,7,2,3,1
2003-481,Copenhagen,Hard,32,A,20030224,7,103971,,,Karol Beck,R,180,SVK,20.8952772074,83,510,6-4 6-3,3,R32,71,9,2,57,32,25,12,10,1,3,1
2003-481,Copenhagen,Hard,32,A,20030224,8,102179,,,Antony Dupuis,R,185,FRA,29.9986310746,75,555,6-4 6-4,3,R32,62,10,2,48,29,27,14,10,0,0,1
2003-481,Copenhagen,Hard,32,A,20030224,9,103356,,,Michel Kratochvil,R,185,SUI,23.8850102669,81,520,6-7(3) 6-3 6-4,3,R32,134,5,2,103,61,45,26,16,11,12,1
2003-481,Copenhagen,Hard,32,A,20030224,10,103444,,,Jean Rene Lisnard,R,173,MON,23.4168377823,88,478,7-5 6-4,3,R32,192,2,7,77,38,27,19,11,6,8,1
2003-481,Copenhagen,Hard,32,A,20030224,11,101820,,,Marc Rosset,R,201,SUI,32.2984257358,114,340,7-6(6) 7-6(4),3,R32,104,16,5,83,50,43,17,12,3,4,1
2003-481,Copenhagen,Hard,32,A,20030224,12,102344,3,,Karol Kucera,R,188,SVK,28.977412731,53,683,6-2 6-3,3,R32,72,5,4,61,26,20,23,9,4,4,1
2003-481,Copenhagen,Hard,32,A,20030224,13,102796,,,Magnus Norman,R,188,SWE,26.7378507871,98,413,7-6(4) 7-5,3,R32,84,9,2,76,46,34,18,12,0,1,1
2003-481,Copenhagen,Hard,32,A,20030224,14,103709,,,Kristian Pless,R,188,DEN,22.0396988364,95,421,6-2 6-0,3,R32,48,5,2,37,20,17,12,7,1,1,1
2003-481,Copenhagen,Hard,32,A,20030224,15,103714,,WC,Andreas Vinciguerra,L,180,SWE,22.0123203285,117,333,6-4 6-4,3,R32,64,6,0,50,35,30,10,10,0,0,1
2003-481,Copenhagen,Hard,32,A,20030224,16,101885,2,,Wayne Arthurs,L,190,AUS,31.9397672827,45,750,7-6(5) 6-2,3,R32,68,17,5,67,42,33,13,10,2,2,1
2003-481,Copenhagen,Hard,32,A,20030224,17,103694,,,Olivier Rochus,R,168,BEL,22.0999315537,84,500,6-1 6-2,3,R16,61,3,1,44,26,19,12,8,1,2,1
2003-481,Copenhagen,Hard,32,A,20030224,18,102494,,Q,Tomas Behrend,R,193,GER,28.2026009582,144,259,6-7(4) 6-3 6-3,3,R16,128,6,4,91,55,40,22,15,2,4,1
2003-481,Copenhagen,Hard,32,A,20030224,19,103285,4,,Radek Stepanek,R,185,CZE,24.2436687201,56,667,6-4 1-6 6-1,3,R16,86,11,2,76,45,36,13,12,3,5,1
2003-481,Copenhagen,Hard,32,A,20030224,20,103971,,,Karol Beck,R,180,SVK,20.8952772074,83,510,4-6 7-6(5) 1-0 RET,3,R16,113,6,2,74,38,27,12,11,6,11,1
2003-481,Copenhagen,Hard,32,A,20030224,21,103356,,,Michel Kratochvil,R,185,SUI,23.8850102669,81,520,7-6(5) 7-6(6),3,R16,128,3,5,87,50,39,18,12,2,5,1
2003-481,Copenhagen,Hard,32,A,20030224,22,102344,3,,Karol Kucera,R,188,SVK,28.977412731,53,683,7-6(5) 6-3,3,R16,98,8,0,62,35,28,18,10,1,2,1
2003-481,Copenhagen,Hard,32,A,20030224,23,102796,,,Magnus Norman,R,188,SWE,26.7378507871,98,413,6-4 7-6(6),3,R16,86,8,1,70,36,29,22,11,1,1,1
2003-481,Copenhagen,Hard,32,A,20030224,24,101885,2,,Wayne Arthurs,L,190,AUS,31.9397672827,45,750,6-7(4) 6-4 7-6(6),3,R16,109,35,4,89,57,53,26,17,0,0,1
2003-481,Copenhagen,Hard,32,A,20030224,25,103694,,,Olivier Rochus,R,168,BEL,22.0999315537,84,500,6-4 6-1,3,QF,68,1,2,42,18,17,16,8,0,0,1
2003-481,Copenhagen,Hard,32,A,20030224,26,103285,4,,Radek Stepanek,R,185,CZE,24.2436687201,56,667,6-4 1-6 6-2,3,QF,103,8,2,73,42,33,16,12,5,7,1
2003-481,Copenhagen,Hard,32,A,20030224,27,102344,3,,Karol Kucera,R,188,SVK,28.977412731,53,683,7-5 6-2,3,QF,86,6,2,49,28,23,14,10,0,1,1
2003-481,Copenhagen,Hard,32,A,20030224,28,101885,2,,Wayne Arthurs,L,190,AUS,31.9397672827,45,750,6-7(7) 7-5 6-4,3,QF,137,22,5,110,61,50,28,17,2,2,1
2003-481,Copenhagen,Hard,32,A,20030224,29,103694,,,Olivier Rochus,R,168,BEL,22.0999315537,84,500,6-3 6-7(2) 6-4,3,SF,129,1,7,98,54,42,25,16,2,4,1
2003-481,Copenhagen,Hard,32,A,20030224,30,102344,3,,Karol Kucera,R,188,SVK,28.977412731,53,683,6-2 6-4,3,SF,60,4,0,39,21,20,16,9,0,0,1
2003-481,Copenhagen,Hard,32,A,20030224,31,102344,3,,Karol Kucera,R,188,SVK,28.977412731,53,683,7-6(4) 6-4,3,F,100,8,5,67,33,27,19,11,3,5,1
2003-520,Roland Garros,Clay,128,G,20030526,1,103720,1,,Lleyton Hewitt,R,180,AUS,22.2477754962,1,4210,6-4 6-1 6-7(6) 6-3,5,R128,193,2,12,115,54,43,30,18,3,7,1
2003-520,Roland Garros,Clay,128,G,20030526,2,103786,,,Nikolay Davydenko,R,178,RUS,21.9794661191,33,1001,6-3 7-5 6-2,5,R128,116,1,1,95,60,43,21,15,4,5,1
2003-520,Roland Garros,Clay,128,G,20030526,3,102035,,,Jonas Bjorkman,R,183,SWE,31.1731690623,69,600,6-1 6-2 6-4,5,R128,102,2,1,80,41,30,28,13,1,1,1
2003-520,Roland Garros,Clay,128,G,20030526,4,103990,28,,Tommy Robredo,R,180,ESP,21.067761807,31,1055,3-6 7-6(3) 3-6 3-1 RET,5,R128,163,5,4,110,78,51,10,16,10,16,1
2003-520,Roland Garros,Clay,128,G,20030526,5,103292,21,,Gaston Gaudio,R,175,ARG,24.4599589322,22,1230,7-5 6-3 6-3,5,R128,131,6,4,90,50,40,22,15,4,5,1
2003-520,Roland Garros,Clay,128,G,20030526,6,103133,,,Olivier Mutis,R,175,FRA,25.3086926762,83,513,6-2 6-7(5) 6-2 6-3,5,R128,151,12,4,107,53,44,32,19,1,4,1
2003-520,Roland Garros,Clay,128,G,20030526,7,102271,,,Hicham Arazi,L,175,MAR,29.5989048597,91,433,6-2 7-6(3) 2-6 6-0,5,R128,142,5,4,117,68,52,24,17,7,10,1
2003-520,Roland Garros,Clay,128,G,20030526,8,102856,15,,Gustavo Kuerten,R,190,BRA,26.7049965777,16,1540,6-2 6-7(3) 6-3 7-6(3),5,R128,183,12,9,147,74,59,40,21,7,9,1
2003-520,Roland Garros,Clay,128,G,20030526,9,102610,9,,Albert Costa,R,180,ESP,27.9178644764,9,1920,6-7(3) 2-6 7-5 6-2 6-2,5,R128,218,8,5,158,112,80,20,24,10,15,1
2003-520,Roland Garros,Clay,128,G,20030526,10,103285,,,Radek Stepanek,R,185,CZE,24.4928131417,47,787,6-1 4-6 6-1 7-6(2),5,R128,140,9,1,114,83,61,21,18,2,3,1
2003-520,Roland Garros,Clay,128,G,20030526,11,102839,,,Nicolas Lapentti,R,188,ECU,26.7816563997,58,675,6-3 7-6(4) 3-0 RET,5,R128,132,5,0,78,40,32,19,11,3,4,1
2003-520,Roland Garros,Clay,128,G,20030526,12,102644,,,Franco Squillari,L,183,ARG,27.7590691307,89,458,7-5 7-6(2) 6-3,5,R128,139,10,3,107,64,47,25,16,8,10,1
2003-520,Roland Garros,Clay,128,G,20030526,13,103096,32,,Arnaud Clement,R,173,FRA,25.4373716632,36,940,6-3 6-4 6-2,5,R128,138,11,2,88,43,31,23,14,2,5,1
2003-520,Roland Garros,Clay,128,G,20030526,14,102694,,,Lars Burgsmuller,R,183,GER,27.4688569473,93,429,7-6(3) 6-2 4-6 6-1,5,R128,158,7,3,115,72,56,26,19,4,6,1
2003-520,Roland Garros,Clay,128,G,20030526,15,102934,,Q,Nicolas Coutelot,R,185,FRA,26.288843258,208,165,6-3 6-3 6-4,5,R128,94,3,8,78,49,44,13,14,1,2,1
2003-520,Roland Garros,Clay,128,G,20030526,16,103900,8,,David Nalbandian,R,180,ARG,21.3963039014,8,1935,6-4 6-3 3-6 7-5,5,R128,163,11,9,133,75,54,24,20,13,19,1
2003-520,Roland Garros,Clay,128,G,20030526,17,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.2826830938,3,3460,7-5 7-5 6-4,5,R128,143,6,5,95,48,35,26,17,1,4,1
2003-520,Roland Garros,Clay,128,G,20030526,18,103454,,,Nicolas Massu,R,183,CHI,23.6249144422,84,502,6-4 6-1 6-3,5,R128,161,4,5,73,44,33,17,13,4,6,1
2003-520,Roland Garros,Clay,128,G,20030526,19,101774,,,Todd Martin,R,198,USA,32.8815879535,94,428,4-6 6-3 6-4 6-2,5,R128,146,7,7,96,53,43,23,19,1,5,1
2003-520,Roland Garros,Clay,128,G,20030526,20,102450,25,,Tim Henman,R,185,GBR,28.7173169062,28,1130,6-2 6-3 6-1,5,R128,100,7,3,84,51,41,15,12,5,6,1
2003-520,Roland Garros,Clay,128,G,20030526,21,102456,20,,Felix Mantilla,R,180,ESP,28.6707734428,21,1255,7-6(3) 6-4 7-6(4),5,R128,153,2,1,129,98,63,13,17,14,20,1
2003-520,Roland Garros,Clay,128,G,20030526,22,102768,,Q,Federico Browne,R,180,ARG,27.1321013005,147,249,4-6 2-6 6-1 6-1 6-3,5,R128,164,11,3,120,87,66,17,21,8,11,1
2003-520,Roland Garros,Clay,128,G,20030526,23,102950,,,Fernando Vicente,R,180,ESP,26.2149212868,63,651,3-6 6-2 7-5 1-6 6-3,5,R128,182,9,10,158,83,62,29,23,8,14,1
2003-520,Roland Garros,Clay,128,G,20030526,24,103206,14,,Sebastien Grosjean,R,175,FRA,24.9911019849,15,1575,6-4 7-6(3) 3-6 6-3,5,R128,197,1,1,139,66,45,35,20,8,15,1
2003-520,Roland Garros,Clay,128,G,20030526,25,102854,12,,Sjeng Schalken,R,193,NED,26.7104722793,13,1755,6-2 6-4 3-6 6-4,5,R128,140,7,6,117,75,48,24,18,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,26,102148,,,Fabrice Santoro,R,178,FRA,30.4585900068,54,745,7-5 6-1 6-1,5,R128,125,4,0,84,52,38,18,13,3,4,1
2003-520,Roland Garros,Clay,128,G,20030526,27,102287,,,Albert Portas,R,188,ESP,29.5249828884,81,524,3-6 6-2 6-4 6-4,5,R128,153,5,5,113,84,52,11,18,3,11,1
2003-520,Roland Garros,Clay,128,G,20030526,28,103602,19,,Fernando Gonzalez,R,183,CHI,22.8227241615,20,1276,6-0 6-2 6-3,5,R128,92,4,2,65,46,35,12,11,1,1,1
2003-520,Roland Garros,Clay,128,G,20030526,29,103813,30,,Jarkko Nieminen,L,185,FIN,21.839835729,34,960,7-6(3) 6-7(4) 6-3 6-1,5,R128,187,2,0,154,112,79,19,20,12,14,1
2003-520,Roland Garros,Clay,128,G,20030526,30,103047,,Q,Julien Varlet,R,180,FRA,25.711156742,163,214,6-1 4-6 6-3 7-6(5),5,R128,160,3,7,122,84,58,25,19,9,12,1
2003-520,Roland Garros,Clay,128,G,20030526,31,103812,,Q,Victor Hanescu,R,198,ROU,21.8453114305,122,317,6-4 6-3 6-2,5,R128,85,7,4,69,44,33,16,13,1,3,1
2003-520,Roland Garros,Clay,128,G,20030526,32,102227,,,Sargis Sargsian,R,180,ARM,29.9767282683,67,623,6-7(3) 6-1 6-2 6-4,5,R128,140,11,2,108,68,57,22,19,4,5,1
2003-520,Roland Garros,Clay,128,G,20030526,33,103632,,,Luis Horna,R,180,PER,22.6940451745,88,465,7-6(6) 6-2 7-6(3),5,R128,131,4,2,111,86,60,15,16,4,6,1
2003-520,Roland Garros,Clay,128,G,20030526,34,103280,,,Martin Verkerk,R,196,NED,24.5667351129,46,793,6-3 6-4 6-4,5,R128,99,10,4,82,47,37,23,15,0,1,1
2003-520,Roland Garros,Clay,128,G,20030526,35,102770,,,John Van Lottum,R,185,NED,27.1238877481,96,410,6-3 3-6 2-6 6-3 6-4,5,R128,188,5,10,158,80,57,36,23,14,20,1
2003-520,Roland Garros,Clay,128,G,20030526,36,102434,29,,Vincent Spadea,R,183,USA,28.8514715948,32,1030,6-1 3-6 5-7 6-4 6-1,5,R128,199,3,1,141,80,54,31,23,13,20,1
2003-520,Roland Garros,Clay,128,G,20030526,37,101965,22,,Wayne Ferreira,R,185,RSA,31.6933607118,24,1185,6-4 6-2 6-3,5,R128,98,10,2,81,40,36,26,14,2,2,1
2003-520,Roland Garros,Clay,128,G,20030526,38,103970,,,David Ferrer,R,175,ESP,21.1471594798,65,638,6-2 6-2 7-6(2),5,R128,105,2,4,93,54,38,26,14,4,5,1
2003-520,Roland Garros,Clay,128,G,20030526,39,103444,,,Jean Rene Lisnard,R,173,MON,23.665982204,98,405,6-1 6-4 4-6 6-4,5,R128,187,3,2,119,61,40,32,18,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,40,102783,11,,Rainer Schuettler,R,180,GER,27.0828199863,11,1810,6-1 2-6 6-4 6-2,5,R128,151,4,4,105,63,39,24,17,0,5,1
2003-520,Roland Garros,Clay,128,G,20030526,41,102562,13,,Jiri Novak,R,190,CZE,28.1779603012,14,1731,6-2 6-3 6-2,5,R128,83,1,0,74,50,38,13,13,5,7,1
2003-520,Roland Garros,Clay,128,G,20030526,42,104043,,Q,Marc Lopez,R,175,ESP,20.8186173854,213,158,7-5 6-1 7-6(5),5,R128,156,0,1,108,86,54,11,15,8,11,1
2003-520,Roland Garros,Clay,128,G,20030526,43,103344,,,Ivan Ljubicic,R,193,CRO,24.1861738535,43,845,6-2 6-3 6-2,5,R128,100,15,3,83,51,38,20,13,1,1,1
2003-520,Roland Garros,Clay,128,G,20030526,44,103484,24,,James Blake,R,185,USA,23.40862423,27,1155,6-4 6-3 7-6(3),5,R128,115,2,4,105,65,45,20,15,7,10,1
2003-520,Roland Garros,Clay,128,G,20030526,45,103428,31,,Juan Ignacio Chela,R,190,ARG,23.7371663244,35,955,3-6 7-6(3) 6-3 7-5,5,R128,207,6,10,128,68,51,28,20,4,10,1
2003-520,Roland Garros,Clay,128,G,20030526,46,102851,,LL,Giorgio Galimberti,R,180,ITA,26.7186858316,117,335,7-6(5) 4-6 6-2 6-2,5,R128,160,0,5,132,88,60,23,19,3,6,1
2003-520,Roland Garros,Clay,128,G,20030526,47,102882,,,Mark Philippoussis,R,196,AUS,26.546201232,52,750,2-6 6-7(1) 7-5 6-2 6-2,5,R128,185,25,6,145,84,59,32,24,4,9,1
2003-520,Roland Garros,Clay,128,G,20030526,48,102845,4,,Carlos Moya,R,190,ESP,26.7433264887,4,2985,7-6(7) 4-6 6-2 6-3,5,R128,158,10,5,135,65,44,38,19,8,12,1
2003-520,Roland Garros,Clay,128,G,20030526,49,103909,7,,Guillermo Coria,R,175,ARG,21.363449692,7,1985,6-3 6-1 6-1,5,R128,94,4,2,57,38,29,12,11,3,4,1
2003-520,Roland Garros,Clay,128,G,20030526,50,103017,,,Nicolas Kiefer,R,183,GER,25.8891170431,77,556,6-3 6-3 4-6 2-6 6-3,5,R128,223,11,10,151,75,55,32,23,11,19,1
2003-520,Roland Garros,Clay,128,G,20030526,51,102722,,Q,Attila Savolt,R,183,HUN,27.3018480493,141,273,7-5 7-6(4) 4-6 6-0,5,R128,185,16,12,128,71,55,28,20,6,10,1
2003-520,Roland Garros,Clay,128,G,20030526,52,104022,27,,Mikhail Youzhny,R,183,RUS,20.9171800137,30,1100,6-3 6-0 6-0,5,R128,93,4,0,71,36,23,22,10,5,7,1
2003-520,Roland Garros,Clay,128,G,20030526,53,101962,23,,Younes El Aynaoui,R,193,MAR,31.7015742642,26,1175,6-4 6-4 6-4,5,R128,143,6,3,99,57,43,22,15,5,7,1
2003-520,Roland Garros,Clay,128,G,20030526,54,103294,,Q,Christophe Rochus,R,170,BEL,24.4435318275,101,399,7-5 6-3 6-3,5,R128,130,1,4,122,94,57,12,15,16,21,1
2003-520,Roland Garros,Clay,128,G,20030526,55,103151,,,Mariano Zabaleta,R,183,ARG,25.2375085558,39,878,6-2 7-6(8) 6-0,5,R128,96,1,5,79,52,41,16,13,0,1,1
2003-520,Roland Garros,Clay,128,G,20030526,56,103103,,,Dominik Hrbaty,R,183,SVK,25.3880903491,62,660,6-4 3-6 6-0 7-5,5,R128,133,3,2,112,67,50,22,18,5,8,1
2003-520,Roland Garros,Clay,128,G,20030526,57,102869,,Q,Galo Blanco,R,173,ESP,26.6283367556,139,278,5-7 6-3 6-0 7-5,5,R128,188,12,5,120,66,45,25,19,6,12,1
