tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2003-520,Roland Garros,Clay,128,G,20030526,58,103264,,,Mariano Puerta,L,180,ARG,24.681724846,97,408,6-2 4-6 7-6(1) 6-1,5,R128,149,5,4,104,70,51,17,18,4,9,1
2003-520,Roland Garros,Clay,128,G,20030526,59,103581,,,Flavio Saretta,R,183,BRA,22.9075975359,78,546,7-6(4) 6-0 6-0,5,R128,102,5,3,70,42,30,18,12,1,2,1
2003-520,Roland Garros,Clay,128,G,20030526,60,102338,17,,Yevgeny Kafelnikov,R,190,RUS,29.2648870637,18,1375,6-1 6-2 6-4,5,R128,99,3,3,71,46,39,12,13,0,1,1
2003-520,Roland Garros,Clay,128,G,20030526,61,103598,26,,Xavier Malisse,R,185,BEL,22.8501026694,29,1100,7-5 6-4 6-2,5,R128,137,17,2,92,56,45,18,15,4,6,1
2003-520,Roland Garros,Clay,128,G,20030526,62,102905,,,Stefan Koubek,L,175,AUT,26.392881588,72,575,7-5 6-2 6-3,5,R128,99,2,4,94,58,39,20,15,4,7,1
2003-520,Roland Garros,Clay,128,G,20030526,63,104339,,,Mario Ancic,R,196,CRO,19.1540041068,74,574,6-1 1-0 RET,5,R128,36,1,0,23,8,7,11,4,2,2,1
2003-520,Roland Garros,Clay,128,G,20030526,64,101736,2,,Andre Agassi,R,180,USA,33.0732375086,2,3900,6-2 6-3 6-3,5,R128,95,4,5,82,37,26,29,13,2,3,1
2003-520,Roland Garros,Clay,128,G,20030526,65,103720,1,,Lleyton Hewitt,R,180,AUS,22.2477754962,1,4210,6-3 4-6 6-3 7-6(5),5,R64,210,6,10,142,65,43,31,20,8,17,1
2003-520,Roland Garros,Clay,128,G,20030526,66,103990,28,,Tommy Robredo,R,180,ESP,21.067761807,31,1055,7-6(2) 6-3 6-4,5,R64,135,5,5,108,65,53,21,16,7,8,1
2003-520,Roland Garros,Clay,128,G,20030526,67,103292,21,,Gaston Gaudio,R,175,ARG,24.4599589322,22,1230,6-2 1-6 6-2 6-2,5,R64,138,3,0,80,49,33,17,15,3,7,1
2003-520,Roland Garros,Clay,128,G,20030526,68,102856,15,,Gustavo Kuerten,R,190,BRA,26.7049965777,16,1540,6-1 6-0 6-1,5,R64,82,7,0,59,31,25,17,10,2,2,1
2003-520,Roland Garros,Clay,128,G,20030526,69,102610,9,,Albert Costa,R,180,ESP,27.9178644764,9,1920,6-3 5-7 6-4 3-6 6-4,5,R64,218,9,4,150,90,64,36,25,6,10,1
2003-520,Roland Garros,Clay,128,G,20030526,70,102839,,,Nicolas Lapentti,R,188,ECU,26.7816563997,58,675,4-6 6-1 6-4 6-3,5,R64,184,7,0,110,66,50,22,18,10,13,1
2003-520,Roland Garros,Clay,128,G,20030526,71,103096,32,,Arnaud Clement,R,173,FRA,25.4373716632,36,940,6-3 6-3 6-3,5,R64,132,3,1,84,44,34,23,14,1,2,1
2003-520,Roland Garros,Clay,128,G,20030526,72,102934,,Q,Nicolas Coutelot,R,185,FRA,26.288843258,208,165,6-3 6-3 4-6 2-6 6-1,5,R64,171,13,2,135,68,49,32,22,7,13,1
2003-520,Roland Garros,Clay,128,G,20030526,73,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.2826830938,3,3460,6-2 3-0 RET,5,R64,42,1,1,26,10,9,11,5,0,0,1
2003-520,Roland Garros,Clay,128,G,20030526,74,102450,25,,Tim Henman,R,185,GBR,28.7173169062,28,1130,7-6(5) 5-7 6-1 7-5,5,R64,207,9,3,153,103,71,23,22,5,10,1
2003-520,Roland Garros,Clay,128,G,20030526,75,102456,20,,Felix Mantilla,R,180,ESP,28.6707734428,21,1255,6-3 4-6 6-3 6-1,5,R64,138,6,3,105,73,55,13,17,10,13,1
2003-520,Roland Garros,Clay,128,G,20030526,76,102950,,,Fernando Vicente,R,180,ESP,26.2149212868,63,651,7-6(3) 6-3 6-3,5,R64,132,9,3,92,45,38,29,15,3,4,1
2003-520,Roland Garros,Clay,128,G,20030526,77,102854,12,,Sjeng Schalken,R,193,NED,26.7104722793,13,1755,6-1 6-3 6-4,5,R64,111,0,1,76,52,38,14,13,4,6,1
2003-520,Roland Garros,Clay,128,G,20030526,78,103602,19,,Fernando Gonzalez,R,183,CHI,22.8227241615,20,1276,6-3 4-6 6-4 6-2,5,R64,147,12,3,104,63,45,21,19,0,4,1
2003-520,Roland Garros,Clay,128,G,20030526,79,103813,30,,Jarkko Nieminen,L,185,FIN,21.839835729,34,960,1-6 1-6 7-6(4) 6-2 6-4,5,R64,192,4,2,137,97,60,16,22,11,20,1
2003-520,Roland Garros,Clay,128,G,20030526,80,103812,,Q,Victor Hanescu,R,198,ROU,21.8453114305,122,317,6-3 7-5 3-6 6-2,5,R64,145,3,2,115,78,54,21,19,5,8,1
2003-520,Roland Garros,Clay,128,G,20030526,81,103280,,,Martin Verkerk,R,196,NED,24.5667351129,46,793,4-6 6-4 4-6 7-5 6-2,5,R64,170,22,9,136,78,63,25,25,6,12,1
2003-520,Roland Garros,Clay,128,G,20030526,82,102434,29,,Vincent Spadea,R,183,USA,28.8514715948,32,1030,7-5 6-1 2-6 6-1,5,R64,115,5,4,86,54,45,20,17,0,2,1
2003-520,Roland Garros,Clay,128,G,20030526,83,101965,22,,Wayne Ferreira,R,185,RSA,31.6933607118,24,1185,4-6 6-4 6-1 6-3,5,R64,158,6,5,123,58,44,28,18,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,84,102783,11,,Rainer Schuettler,R,180,GER,27.0828199863,11,1810,4-6 6-2 6-4 6-0,5,R64,166,2,11,127,81,52,22,18,9,13,1
2003-520,Roland Garros,Clay,128,G,20030526,85,102562,13,,Jiri Novak,R,190,CZE,28.1779603012,14,1731,6-4 3-6 0-6 6-1 6-3,5,R64,167,6,4,119,81,53,18,20,2,8,1
2003-520,Roland Garros,Clay,128,G,20030526,86,103344,,,Ivan Ljubicic,R,193,CRO,24.1861738535,43,845,6-3 4-6 7-6(2) 6-4,5,R64,145,15,1,111,58,49,33,21,1,4,1
2003-520,Roland Garros,Clay,128,G,20030526,87,103428,31,,Juan Ignacio Chela,R,190,ARG,23.7371663244,35,955,6-2 5-7 6-2 6-1,5,R64,142,7,5,104,61,44,24,18,5,9,1
2003-520,Roland Garros,Clay,128,G,20030526,88,102845,4,,Carlos Moya,R,190,ESP,26.7433264887,4,2985,6-2 6-4 7-6(7),5,R64,128,15,7,98,48,42,26,15,7,9,1
2003-520,Roland Garros,Clay,128,G,20030526,89,103909,7,,Guillermo Coria,R,175,ARG,21.363449692,7,1985,6-3 5-7 6-3 6-1,5,R64,190,1,6,104,67,48,21,18,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,90,102722,,Q,Attila Savolt,R,183,HUN,27.3018480493,141,273,3-6 6-4 5-7 6-2 6-4,5,R64,259,0,12,168,72,53,43,25,9,16,1
2003-520,Roland Garros,Clay,128,G,20030526,91,101962,23,,Younes El Aynaoui,R,193,MAR,31.7015742642,26,1175,6-4 6-4 6-3,5,R64,103,14,5,72,41,38,19,14,1,1,1
2003-520,Roland Garros,Clay,128,G,20030526,92,103151,,,Mariano Zabaleta,R,183,ARG,25.2375085558,39,878,6-2 6-4 6-2,5,R64,117,7,3,87,47,28,20,13,3,8,1
2003-520,Roland Garros,Clay,128,G,20030526,93,102869,,Q,Galo Blanco,R,173,ESP,26.6283367556,139,278,6-2 6-2 6-4,5,R64,101,9,1,70,40,34,20,13,2,2,1
2003-520,Roland Garros,Clay,128,G,20030526,94,103581,,,Flavio Saretta,R,183,BRA,22.9075975359,78,546,6-4 3-6 6-0 6-7(0) 6-4,5,R64,235,8,2,148,94,57,36,23,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,95,103598,26,,Xavier Malisse,R,185,BEL,22.8501026694,29,1100,3-6 4-6 6-4 7-5 8-6,5,R64,234,7,5,177,92,62,38,27,15,25,1
2003-520,Roland Garros,Clay,128,G,20030526,96,101736,2,,Andre Agassi,R,180,USA,33.0732375086,2,3900,5-7 1-6 6-4 6-2 7-5,5,R64,193,8,4,145,83,53,29,24,4,13,1
2003-520,Roland Garros,Clay,128,G,20030526,97,103990,28,,Tommy Robredo,R,180,ESP,21.067761807,31,1055,4-6 1-6 6-3 6-2 6-3,5,R32,204,4,2,134,94,57,19,21,4,10,1
2003-520,Roland Garros,Clay,128,G,20030526,98,102856,15,,Gustavo Kuerten,R,190,BRA,26.7049965777,16,1540,7-6(1) 7-5 5-7 6-3,5,R32,216,12,3,159,72,57,42,23,7,11,1
2003-520,Roland Garros,Clay,128,G,20030526,99,102610,9,,Albert Costa,R,180,ESP,27.9178644764,9,1920,4-6 4-6 6-3 6-4 6-4,5,R32,279,2,6,174,108,75,32,25,12,16,1
2003-520,Roland Garros,Clay,128,G,20030526,100,103096,32,,Arnaud Clement,R,173,FRA,25.4373716632,36,940,6-4 6-3 6-2,5,R32,126,4,2,75,47,36,18,13,2,3,1
2003-520,Roland Garros,Clay,128,G,20030526,101,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.2826830938,3,3460,4-6 6-2 6-4 6-2,5,R32,170,6,0,105,62,42,30,18,2,4,1
2003-520,Roland Garros,Clay,128,G,20030526,102,102456,20,,Felix Mantilla,R,180,ESP,28.6707734428,21,1255,7-6(3) 6-3 6-3,5,R32,132,0,2,99,69,46,18,15,4,7,1
