tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2004-580,Australian Open,Hard,128,G,20040119,93,103720,15,,Lleyton Hewitt,R,180,AUS,22.8993839836,11,1625,1-6 6-1 6-4 6-1,5,R64,143,3,3,97,58,35,21,15,4,9,1
2004-580,Australian Open,Hard,128,G,20040119,94,104745,,,Rafael Nadal,L,185,ESP,17.6290212183,41,877,6-4 3-6 7-5 6-1,5,R64,176,0,5,110,76,55,16,19,6,10,1
2004-580,Australian Open,Hard,128,G,20040119,95,104379,,WC,Todd Reid,R,180,AUS,19.627652293,148,253,6-3 6-4 4-6 6-7(6) 6-4,5,R64,216,7,4,176,130,82,18,26,12,20,1
2004-580,Australian Open,Hard,128,G,20040119,96,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,6-2 6-3 6-4,5,R64,94,5,2,84,52,40,21,14,4,4,1
2004-580,Australian Open,Hard,128,G,20040119,97,104053,1,,Andy Roddick,R,188,USA,21.3880903491,1,4535,6-2 6-0 6-2,5,R32,71,4,1,61,37,32,11,11,0,1,1
2004-580,Australian Open,Hard,128,G,20040119,98,102854,16,,Sjeng Schalken,R,193,NED,27.3620807666,17,1445,7-6(1) 6-4 6-1,5,R32,123,1,3,107,80,57,14,15,9,11,1
2004-580,Australian Open,Hard,128,G,20040119,99,103498,,,Marat Safin,R,193,RUS,23.9780971937,86,430,7-5 1-6 4-6 6-0 7-5,5,R32,205,9,3,153,83,62,38,23,4,7,1
2004-580,Australian Open,Hard,128,G,20040119,100,103484,,,James Blake,R,185,USA,24.0602327173,39,975,6-1 6-3 6-2,5,R32,75,7,1,68,44,35,14,12,0,1,1
2004-580,Australian Open,Hard,128,G,20040119,101,101736,4,,Andre Agassi,R,180,USA,33.7248459959,4,3425,6-0 6-3 6-3,5,R32,89,9,3,79,47,39,14,12,4,5,1
2004-580,Australian Open,Hard,128,G,20040119,102,103387,13,,Paradorn Srichaphan,R,185,THA,24.5995893224,15,1540,6-3 7-5 6-4,5,R32,108,6,2,86,54,41,21,16,1,3,1
2004-580,Australian Open,Hard,128,G,20040119,103,103206,9,,Sebastien Grosjean,R,175,FRA,25.6427104723,10,1630,2-6 6-4 6-1 6-3,5,R32,131,10,0,90,51,41,18,17,0,3,1
2004-580,Australian Open,Hard,128,G,20040119,104,104068,32,,Robby Ginepri,R,183,USA,21.2840520192,33,1050,6-2 6-3 6-4,5,R32,95,10,4,93,57,41,20,14,6,7,1
2004-580,Australian Open,Hard,128,G,20040119,105,102271,,,Hicham Arazi,L,175,MAR,30.250513347,51,698,2-6 7-6(2) 6-2 6-1,5,R32,177,10,1,149,88,64,29,18,15,18,1
2004-580,Australian Open,Hard,128,G,20040119,106,102882,10,,Mark Philippoussis,R,196,AUS,27.1978097194,9,1640,6-4 7-6(2) 6-2,5,R32,137,9,2,99,49,40,29,15,6,8,1
2004-580,Australian Open,Hard,128,G,20040119,107,102318,,,Andrei Pavel,R,183,ROU,29.9767282683,67,519,4-6 3-6 7-5 7-6(3) 6-4,5,R32,207,15,4,172,115,80,25,26,8,14,1
2004-580,Australian Open,Hard,128,G,20040119,108,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.9342915811,3,4145,6-1 7-6(4) 6-7(5) 6-4,5,R32,148,14,3,124,79,66,23,21,3,4,1
2004-580,Australian Open,Hard,128,G,20040119,109,103900,8,,David Nalbandian,R,180,ARG,22.0479123888,8,2060,6-2 6-4 7-5,5,R32,104,3,8,84,48,38,22,15,1,2,1
2004-580,Australian Open,Hard,128,G,20040119,110,103084,,,Guillermo Canas,R,185,ARG,26.1492128679,248,144,6-7(5) 5-7 7-6(3) 7-5 9-7,5,R32,291,4,4,211,154,103,36,32,12,16,1
2004-580,Australian Open,Hard,128,G,20040119,111,103720,15,,Lleyton Hewitt,R,180,AUS,22.8993839836,11,1625,7-6(2) 7-6(5) 6-2,5,R32,149,9,2,109,58,42,31,16,4,6,1
2004-580,Australian Open,Hard,128,G,20040119,112,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,6-3 6-0 6-1,5,R32,74,5,3,57,31,23,17,11,0,1,1
2004-580,Australian Open,Hard,128,G,20040119,113,104053,1,,Andy Roddick,R,188,USA,21.3880903491,1,4535,6-1 6-2 6-3,5,R16,79,14,1,69,44,39,12,12,4,4,1
2004-580,Australian Open,Hard,128,G,20040119,114,103498,,,Marat Safin,R,193,RUS,23.9780971937,86,430,7-6(3) 6-3 6-7(6) 6-3,5,R16,188,20,1,148,79,62,34,22,8,11,1
2004-580,Australian Open,Hard,128,G,20040119,115,101736,4,,Andre Agassi,R,180,USA,33.7248459959,4,3425,7-6(3) 6-3 6-4,5,R16,126,5,3,93,55,49,20,16,7,8,1
2004-580,Australian Open,Hard,128,G,20040119,116,103206,9,,Sebastien Grosjean,R,175,FRA,25.6427104723,10,1630,6-4 3-6 6-4 6-1,5,R16,126,4,2,99,57,44,24,18,2,5,1
2004-580,Australian Open,Hard,128,G,20040119,117,102271,,,Hicham Arazi,L,175,MAR,30.250513347,51,698,6-2 6-2 6-4,5,R16,104,7,2,87,55,43,17,13,10,10,1
2004-580,Australian Open,Hard,128,G,20040119,118,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.9342915811,3,4145,6-4 3-6 6-3 6-2,5,R16,163,11,4,115,69,52,28,18,2,3,1
2004-580,Australian Open,Hard,128,G,20040119,119,103900,8,,David Nalbandian,R,180,ARG,22.0479123888,8,2060,6-4 6-2 6-1,5,R16,104,8,1,67,41,33,17,12,2,3,1
2004-580,Australian Open,Hard,128,G,20040119,120,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,4-6 6-3 6-0 6-4,5,R16,138,14,4,117,69,51,27,18,6,7,1
2004-580,Australian Open,Hard,128,G,20040119,121,103498,,,Marat Safin,R,193,RUS,23.9780971937,86,430,2-6 6-3 7-5 6-7(0) 6-4,5,QF,203,19,6,152,82,61,39,25,4,7,1
2004-580,Australian Open,Hard,128,G,20040119,122,101736,4,,Andre Agassi,R,180,USA,33.7248459959,4,3425,6-2 2-0 RET,5,QF,44,4,0,30,20,15,6,5,0,0,1
2004-580,Australian Open,Hard,128,G,20040119,123,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.9342915811,3,4145,6-1 7-6(6) 7-6(5),5,QF,156,18,1,129,73,55,30,16,8,10,1
2004-580,Australian Open,Hard,128,G,20040119,124,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,7-5 6-4 5-7 6-3,5,QF,161,20,3,127,76,63,22,22,8,11,1
2004-580,Australian Open,Hard,128,G,20040119,125,103498,,,Marat Safin,R,193,RUS,23.9780971937,86,430,7-6(6) 7-6(6) 5-7 1-6 6-3,5,SF,222,33,0,161,88,68,41,26,4,8,1
2004-580,Australian Open,Hard,128,G,20040119,126,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,6-4 6-1 6-4,5,SF,89,11,1,83,60,50,10,14,4,4,1
2004-580,Australian Open,Hard,128,G,20040119,127,103819,2,,Roger Federer,R,185,SUI,22.4476386037,2,4375,7-6(3) 6-4 6-2,5,F,135,8,2,90,48,36,25,15,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,1,102318,,,Andrei Pavel,R,183,ROU,30.1108829569,49,754,7-6(10) 6-7(4) 7-6(4),3,R128,179,9,3,128,84,64,26,18,6,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,2,103812,,,Victor Hanescu,R,198,ROU,22.6310746064,63,554,6-1 6-7(5) 6-3,3,R128,98,8,3,86,61,45,13,15,1,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,3,102785,,Q,Glenn Weiner,R,188,USA,27.8631074606,166,220,6-4 4-6 6-4,3,R128,104,7,5,90,53,42,19,15,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,4,102179,,,Antony Dupuis,R,185,FRA,31.0335386721,65,543,6-4 7-5,3,R128,91,9,4,70,36,27,21,11,3,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,5,103163,,WC,Tommy Haas,R,188,GER,25.9301848049,882,10,6-4 3-6 6-3,3,R128,109,9,5,84,46,38,14,14,2,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,6,103084,,,Guillermo Canas,R,185,ARG,26.2833675565,104,375,6-4 4-0 RET,3,R128,71,2,4,50,30,22,11,7,4,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,7,103252,,,Alberto Martin,R,175,ESP,25.5496235455,57,612,7-5 6-4,3,R128,79,2,2,66,36,29,18,11,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,8,102563,,,Thomas Johansson,R,180,SWE,28.9582477755,221,158,6-4 5-7 6-2,3,R128,148,8,2,95,54,40,20,15,3,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,9,102227,,,Sargis Sargsian,R,180,ARM,30.7624914442,45,845,7-6(2) 2-6 6-1,3,R128,130,4,3,96,69,53,9,14,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,10,104166,,WC,Alex Bogomolov Jr,R,178,RUS,20.8761122519,115,348,6-2 6-4,3,R128,81,1,4,68,46,31,12,9,5,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,11,103171,,,Raemon Sluiter,R,185,NED,25.9028062971,81,472,7-6(3) 7-6(6),3,R128,107,8,2,84,44,34,23,12,6,8,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,12,102106,,,Davide Sanguinetti,R,188,ITA,31.5345653662,112,359,1-6 7-6(4) 6-4,3,R128,127,5,5,97,44,29,29,14,9,12,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,13,104022,,,Mikhail Youzhny,R,183,RUS,21.7029431896,51,720,3-6 6-3 6-1,3,R128,98,6,1,67,34,24,24,12,0,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,14,103632,,,Luis Horna,R,180,PER,23.4798083504,61,590,6-2 7-6(4),3,R128,71,4,1,60,49,40,7,10,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,15,103598,,,Xavier Malisse,R,185,BEL,23.6358658453,56,615,6-3 6-3,3,R128,65,4,0,46,28,20,13,9,3,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,16,103176,,,David Sanchez,R,183,ESP,25.8836413415,58,611,4-6 6-4 6-2,3,R128,108,9,1,91,59,41,17,14,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,17,101885,,Q,Wayne Arthurs,L,190,AUS,32.9746748802,128,300,6-3 6-2,3,R128,60,12,0,44,28,22,14,9,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,18,103248,,Q,Harel Levy,R,185,ISR,25.5906913073,102,378,6-2 5-7 6-3,3,R128,107,12,2,104,69,52,14,15,4,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,19,102374,,WC,Alex Corretja,R,180,ESP,29.9082819986,98,386,7-6(6) 3-6 7-5,3,R128,172,4,5,112,59,41,27,16,9,13,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,20,103225,,Q,Simon Larose,R,190,CAN,25.6947296372,228,153,6-0 4-6 7-5,3,R128,99,4,4,95,53,37,24,14,9,11,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,21,102765,,,Nicolas Escude,R,185,FRA,27.9288158795,77,479,7-6(2) 5-7 7-6(5),3,R128,171,7,6,124,72,58,25,18,5,8,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,22,103581,,,Flavio Saretta,R,183,BRA,23.6933607118,46,804,6-2 7-5,3,R128,95,4,4,58,27,20,18,10,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,23,103401,,Q,Jan Hernych,R,190,CZE,24.6707734428,171,217,2-6 6-4 6-1,3,R128,105,3,1,85,57,33,15,13,6,11,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,24,102998,,,Jan Michael Gambill,R,190,USA,26.7624914442,82,470,6-3 3-6 6-2,3,R128,106,21,0,68,52,40,12,13,2,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,25,103789,,,Irakli Labadze,L,188,GEO,22.7460643395,90,438,7-6(3) 6-4,3,R128,81,4,5,71,43,33,17,11,2,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,26,102271,,,Hicham Arazi,L,175,MAR,30.3846680356,44,868,6-4 6-2,3,R128,70,3,0,58,39,25,14,9,5,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,27,104417,,,Robin Soderling,R,193,SWE,19.5646817248,47,762,6-3 7-6(5),3,R128,74,5,1,60,39,32,16,11,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,28,104745,,,Rafael Nadal,L,185,ESP,17.7631759069,36,953,6-2 6-3,3,R128,71,0,1,68,42,30,14,9,8,9,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,29,103758,,,Taylor Dent,R,188,USA,22.8720054757,43,885,1-6 6-4 6-4,3,R128,113,8,16,81,35,28,21,14,10,14,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,30,102839,,,Nicolas Lapentti,R,188,ECU,27.5674195756,62,588,6-2 6-3,3,R128,86,5,1,48,27,20,14,8,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,31,103484,,,James Blake,R,185,USA,24.1943874059,39,925,6-2 6-2,3,R128,58,3,2,43,20,17,15,8,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,32,101965,,,Wayne Ferreira,R,185,RSA,32.4791238877,48,760,6-4 6-2,3,R128,64,6,2,55,33,28,13,9,4,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,33,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,6-1 6-1,3,R64,64,5,2,44,29,22,9,7,3,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,34,103602,25,,Fernando Gonzalez,R,183,CHI,23.6084873374,27,1120,3-6 6-3 6-4,3,R64,105,13,8,72,38,30,21,14,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,35,103888,18,,Mardy Fish,R,188,USA,22.2450376454,19,1275,6-4 6-4,3,R64,82,8,4,63,35,29,13,10,4,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,36,102562,16,,Jiri Novak,R,190,CZE,28.9637234771,17,1375,6-2 6-0,3,R64,51,6,0,33,26,21,7,7,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,37,103163,,WC,Tommy Haas,R,188,GER,25.9301848049,882,10,6-1 6-2,3,R64,68,6,2,53,29,21,15,8,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,38,102610,23,,Albert Costa,R,180,ESP,28.7036276523,25,1145,7-5 6-7(3) 6-4,3,R64,174,16,2,104,57,43,28,17,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,39,103428,32,,Juan Ignacio Chela,R,190,ARG,24.5229295003,34,1000,5-7 6-2 6-0,3,R64,118,4,1,78,53,37,13,13,3,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,40,103720,8,,Lleyton Hewitt,R,180,AUS,23.0335386721,9,1700,6-2 6-3,3,R64,79,4,1,49,26,18,12,8,2,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,41,103909,4,,Guillermo Coria,R,175,ARG,22.1492128679,4,3240,6-3 6-4,3,R64,82,4,2,55,37,27,9,10,3,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,42,103018,27,,Max Mirnyi,R,196,BLR,26.6721423682,29,1075,7-6(4) 6-4,3,R64,89,14,6,87,53,41,19,11,6,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,43,103171,,,Raemon Sluiter,R,185,NED,25.9028062971,81,472,6-2 6-4,3,R64,79,6,5,51,28,25,12,9,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,44,103206,13,,Sebastien Grosjean,R,175,FRA,25.7768651608,14,1560,6-2 6-2,3,R64,68,5,2,52,22,18,16,8,2,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,45,104022,,,Mikhail Youzhny,R,183,RUS,21.7029431896,51,720,7-6(5) 7-5,3,R64,112,10,2,82,44,33,20,12,5,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,46,103632,,,Luis Horna,R,180,PER,23.4798083504,61,590,6-3 7-6(3),3,R64,77,3,2,59,43,35,12,11,2,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,47,103103,31,,Dominik Hrbaty,R,183,SVK,26.173853525,33,1021,6-4 6-3,3,R64,75,0,0,62,50,34,9,10,7,8,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,48,101736,5,,Andre Agassi,R,180,USA,33.8590006845,5,2770,6-2 6-2,3,R64,63,3,0,46,30,23,12,8,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,49,101885,,Q,Wayne Arthurs,L,190,AUS,32.9746748802,128,300,6-1 7-6(3),3,R64,77,12,1,68,40,30,17,10,3,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,50,102035,28,,Jonas Bjorkman,R,183,SWE,31.9589322382,30,1038,6-1 6-3,3,R64,63,1,2,41,19,18,15,8,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,51,102374,,WC,Alex Corretja,R,180,ESP,29.9082819986,98,386,6-1 6-4,3,R64,82,0,6,70,42,31,14,9,4,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,52,102450,9,,Tim Henman,R,185,GBR,29.5030800821,10,1700,6-3 6-2,3,R64,62,6,2,47,23,16,19,9,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,53,102765,,,Nicolas Escude,R,185,FRA,27.9288158795,77,479,6-3 6-2,3,R64,77,3,3,66,32,22,18,9,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,54,102434,21,,Vincent Spadea,R,183,USA,29.6372347707,22,1165,6-3 6-2,3,R64,81,4,2,56,37,25,9,9,2,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,55,103498,30,,Marat Safin,R,193,RUS,24.1122518823,32,1025,6-4 7-6(3),3,R64,91,8,2,65,39,33,13,11,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,56,104053,3,,Andy Roddick,R,188,USA,21.5222450376,3,4335,7-6(3) 6-2,3,R64,94,21,2,70,42,37,16,10,3,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,57,103789,,,Irakli Labadze,L,188,GEO,22.7460643395,90,438,2-6 6-1 6-3,3,R64,95,5,3,74,37,26,23,12,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,58,102271,,,Hicham Arazi,L,175,MAR,30.3846680356,44,868,6-3 6-3,3,R64,74,3,2,70,40,30,17,9,5,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,59,102860,22,,Agustin Calleri,R,183,ARG,27.4798083504,23,1155,6-4 3-6 6-3,3,R64,104,19,5,95,56,42,20,14,10,12,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,60,104745,,,Rafael Nadal,L,185,ESP,17.7631759069,36,953,6-3 1-0 RET,3,R64,47,3,1,30,21,15,6,5,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,61,103758,,,Taylor Dent,R,188,USA,22.8720054757,43,885,7-5 6-4,3,R64,82,11,8,71,33,25,20,11,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,62,102839,,,Nicolas Lapentti,R,188,ECU,27.5674195756,62,588,7-5 6-4,3,R64,90,8,1,74,48,36,13,11,3,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,63,103484,,,James Blake,R,185,USA,24.1943874059,39,925,6-4 7-5,3,R64,78,10,5,77,42,33,17,11,4,5,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,64,103292,33,,Gaston Gaudio,R,175,ARG,25.2457221081,35,960,6-2 7-5,3,R64,81,2,1,66,41,28,14,10,5,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,65,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,6-3 6-2,3,R32,63,6,3,58,31,25,15,9,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,66,103888,18,,Mardy Fish,R,188,USA,22.2450376454,19,1275,6-3 6-4,3,R32,73,9,8,77,38,29,16,10,8,10,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,67,103163,,WC,Tommy Haas,R,188,GER,25.9301848049,882,10,7-6(4) 3-6 6-3,3,R32,144,8,5,91,45,29,26,15,5,9,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,68,103428,32,,Juan Ignacio Chela,R,190,ARG,24.5229295003,34,1000,6-3 4-6 6-1,3,R32,132,2,0,98,71,46,15,13,11,13,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,69,103909,4,,Guillermo Coria,R,175,ARG,22.1492128679,4,3240,6-4 7-5,3,R32,84,4,2,61,48,41,7,11,2,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,70,103206,13,,Sebastien Grosjean,R,175,FRA,25.7768651608,14,1560,6-7(4) 6-4 6-4,3,R32,134,10,2,89,41,35,29,16,2,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,71,104022,,,Mikhail Youzhny,R,183,RUS,21.7029431896,51,720,7-6(12) 6-2,3,R32,114,8,0,63,30,25,21,10,0,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,72,101736,5,,Andre Agassi,R,180,USA,33.8590006845,5,2770,6-2 6-4,3,R32,65,9,2,51,27,22,17,9,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,73,101885,,Q,Wayne Arthurs,L,190,AUS,32.9746748802,128,300,4-6 6-2 6-3,3,R32,118,19,9,100,53,42,20,14,7,9,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,74,102450,9,,Tim Henman,R,185,GBR,29.5030800821,10,1700,6-4 6-4,3,R32,102,3,3,58,29,22,16,10,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,75,102765,,,Nicolas Escude,R,185,FRA,27.9288158795,77,479,3-6 6-4 7-6(5),3,R32,126,8,1,94,61,47,20,16,0,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,76,104053,3,,Andy Roddick,R,188,USA,21.5222450376,3,4335,7-6(6) 6-2,3,R32,85,9,1,61,40,32,12,10,0,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,77,103789,,,Irakli Labadze,L,188,GEO,22.7460643395,90,438,6-3 6-4,3,R32,81,4,6,57,23,19,21,10,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,78,102860,22,,Agustin Calleri,R,183,ARG,27.4798083504,23,1155,6-4 3-6 7-6(10),3,R32,158,8,3,98,52,39,23,15,2,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,79,103758,,,Taylor Dent,R,188,USA,22.8720054757,43,885,6-3 6-2,3,R32,70,8,6,61,33,27,16,9,4,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,80,103484,,,James Blake,R,185,USA,24.1943874059,39,925,3-6 6-2 6-3,3,R32,111,9,4,79,48,34,16,13,4,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,81,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,6-4 6-1,3,R16,71,7,1,51,33,26,11,9,1,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,82,103428,32,,Juan Ignacio Chela,R,190,ARG,24.5229295003,34,1000,6-4 6-2,3,R16,74,3,1,52,34,23,15,9,0,0,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,83,103909,4,,Guillermo Coria,R,175,ARG,22.1492128679,4,3240,3-6 7-6(2) 6-2,3,R16,135,2,3,82,57,45,15,14,1,3,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,84,101736,5,,Andre Agassi,R,180,USA,33.8590006845,5,2770,7-5 6-2,3,R16,92,4,1,54,23,17,19,10,4,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,85,102450,9,,Tim Henman,R,185,GBR,29.5030800821,10,1700,6-1 6-3,3,R16,61,5,3,40,24,20,10,8,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,86,104053,3,,Andy Roddick,R,188,USA,21.5222450376,3,4335,6-3 6-2,3,R16,70,16,1,57,29,27,13,9,4,4,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,87,103789,,,Irakli Labadze,L,188,GEO,22.7460643395,90,438,1-6 6-3 6-4,3,R16,104,5,9,81,43,32,21,13,5,8,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,88,103484,,,James Blake,R,185,USA,24.1943874059,39,925,7-6(4) 4-6 6-1,3,R16,123,6,6,112,73,51,17,15,7,11,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,89,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,6-2 6-1,3,QF,63,4,2,53,31,23,12,8,1,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,90,101736,5,,Andre Agassi,R,180,USA,33.8590006845,5,2770,6-4 7-5,3,QF,81,5,2,60,32,21,17,11,0,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,91,102450,9,,Tim Henman,R,185,GBR,29.5030800821,10,1700,6-7(6) 7-6(1) 6-3,3,QF,152,6,3,120,74,56,25,17,5,7,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,92,103789,,,Irakli Labadze,L,188,GEO,22.7460643395,90,438,6-7(1) 6-4 6-1,3,QF,116,5,6,92,49,36,28,15,2,2,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,93,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,4-6 6-3 6-4,3,SF,113,12,5,85,50,41,22,15,5,6,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,94,102450,9,,Tim Henman,R,185,GBR,29.5030800821,10,1700,6-3 6-2,3,SF,63,5,2,42,24,21,12,9,0,1,1
2004-404,Indian Wells Masters,Hard,96,M,20040308,95,103819,1,,Roger Federer,R,185,SUI,22.5817932923,1,5170,6-3 6-3,3,F,67,3,0,45,27,23,13,9,0,0,1
2004-407,Rotterdam,Hard,32,A,20040216,1,103819,1,,Roger Federer,R,185,SUI,22.5242984257,1,5170,6-4 6-3,3,R32,74,5,0,49,32,29,11,10,0,0,1
2004-407,Rotterdam,Hard,32,A,20040216,2,102318,,,Andrei Pavel,R,183,ROU,30.0533880903,52,664,4-6 7-6(7) 6-2,3,R32,121,3,2,83,51,40,19,15,1,3,1
2004-407,Rotterdam,Hard,32,A,20040216,3,103761,,Q,Tomas Cakl,R,178,CZE,22.8117727584,213,166,7-6(2) 7-6(8),3,R32,110,8,6,109,60,42,26,12,8,10,1
2004-407,Rotterdam,Hard,32,A,20040216,4,102450,5,,Tim Henman,R,185,GBR,29.4455852156,11,1650,7-5 6-2,3,R32,92,3,1,64,34,27,19,10,1,1,1
2004-407,Rotterdam,Hard,32,A,20040216,5,102783,3,,Rainer Schuettler,R,180,GER,27.8110882957,6,2510,6-3 6-2,3,R32,63,4,3,45,21,18,12,8,1,2,1
2004-407,Rotterdam,Hard,32,A,20040216,6,103285,,,Radek Stepanek,R,185,CZE,25.2210814511,48,740,5-7 6-2 6-2,3,R32,126,10,5,90,61,46,12,14,3,5,1
2004-407,Rotterdam,Hard,32,A,20040216,7,102563,,,Thomas Johansson,R,180,SWE,28.900752909,276,128,6-3 6-1,3,R32,64,7,2,52,26,23,15,8,4,4,1
